Unnamed: 0,Ship-To Party3,Goods Issue Date,Material,Shipping Point/Receiving Pt,Destination,Delivery Date,Number of packages
,,2012-11-27,A001,81,R,2012-11-28,0
,,2012-11-27,A002,81,R,2012-11-28,0
,,2012-11-27,A003,81,R,2012-11-28,0
,,2013-02-06,A001,81,R,2013-02-07,0
,,2013-02-06,A002,81,R,2013-02-07,0
,,2013-02-06,A003,81,R,2013-02-07,0
,,2013-02-26,A001,81,R,2013-02-27,0
,,2013-02-26,A002,81,R,2013-02-27,0
,,2013-02-26,A003,81,R,2013-02-27,0
,,2013-06-03,A005,81,R,2013-06-04,0
,,2013-06-03,A005,81,R,2013-06-04,0
,,2014-06-30,A005,81,R,2014-07-01,0
,,2014-06-30,A005,81,R,2014-07-01,0
,,2014-08-29,A005,81,R,2014-09-01,0
,,2014-08-29,A005,81,R,2014-09-01,0
,,2014-08-29,A005,81,R,2014-09-01,0
,,2014-08-29,A005,81,R,2014-09-01,0
,,2014-10-20,A003,81,R,2014-10-21,0
,,2014-10-20,A002,81,R,2014-10-21,0
,,2014-10-20,A006,81,R,2014-10-21,0
,,2014-10-20,A001,81,R,2014-10-21,0
,,2014-10-20,A007,81,R,2014-10-21,0
,,2014-10-27,A003,81,R,2014-10-28,0
,,2014-10-27,A002,81,R,2014-10-28,0
,,2014-10-27,A001,81,R,2014-10-28,0
,,2014-10-27,A006,81,R,2014-10-28,0
,,2014-10-27,A003,81,R,2014-10-28,0
,,2014-10-27,A002,81,R,2014-10-28,0
,,2014-10-27,A008,81,R,2014-10-28,0
,,2014-10-27,A007,81,R,2014-10-28,0
,,2014-10-27,A006,81,R,2014-10-28,0
,,2014-10-27,A003,81,R,2014-10-28,0
,,2014-10-27,A002,81,R,2014-10-28,0
,,2014-10-27,A006,81,R,2014-10-28,0
,,2014-10-27,A007,81,R,2014-10-28,0
,,2014-10-27,A003,81,R,2014-10-28,0
,,2014-10-27,A002,81,R,2014-10-28,0
,,2014-10-27,A006,81,R,2014-10-28,0
,,2014-10-27,A008,81,R,2014-10-28,0
,,2014-10-27,A007,81,R,2014-10-28,0
,,2014-10-27,A001,81,R,2014-10-28,0
,,2015-03-04,A003,81,R,2015-03-05,0
,,2015-03-04,A002,81,R,2015-03-05,0
,,2015-04-08,A005,81,r,2015-04-09,0
,,2015-04-13,A005,81,R,2015-04-14,0
,,2015-04-13,A005,81,R,2015-04-14,0
,,2015-04-13,A005,81,R,2015-04-14,0
,,2015-04-13,A005,81,R,2015-04-14,0
,,2015-04-13,A005,81,R,2015-04-14,0
,,2015-04-13,A005,81,R,2015-04-14,0
,,2015-04-13,A005,81,R,2015-04-14,0
,,2015-04-13,A005,81,R,2015-04-14,0
,,2015-04-13,A005,81,R,2015-04-14,0
,,2015-04-13,A005,81,R,2015-04-14,0
,,2015-04-13,A005,81,R,2015-04-14,0
,,2015-04-13,A005,81,R,2015-04-14,0
,,2016-11-08,A005,81,R,2016-11-15,0
,,2017-04-13,A005,81,R,2017-04-20,0
,,2017-06-05,A005,81,R,2017-06-12,0
,,2017-06-05,A005,81,R,2017-06-12,0
,,2017-08-28,A005,81,R,2017-09-05,0
,,2017-08-28,A005,81,R,2017-09-05,0
,,2017-08-28,A005,81,R,2017-09-05,0
,,2017-08-28,A005,81,R,2017-09-05,0
,,2017-08-28,A005,81,R,2017-09-05,0
,,2017-08-28,A005,81,R,2017-09-05,0
,,2017-08-28,A005,81,R,2017-09-05,0
,,2017-08-28,A005,81,R,2017-09-05,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2017-12-25,A005,81,R,2018-01-02,0
,,2018-05-07,A005,81,R,2018-05-14,0
,,2018-09-18,A001,81,R,2018-09-25,0
,,2018-12-11,A005,81,R,2018-12-13,0
,,2018-12-11,A005,81,R,2018-12-13,0
,,2018-12-11,A005,81,R,2018-12-13,0
,,2018-12-11,A005,81,R,2018-12-13,0
,,2018-12-11,A005,81,R,2018-12-13,0
,,2018-12-11,A005,81,R,2018-12-13,0
,,2018-12-11,A005,81,R,2018-12-13,0
,,2018-12-11,A005,81,R,2018-12-13,0
,,2018-12-11,A005,81,R,2018-12-13,0
,,2018-12-11,A005,81,R,2018-12-13,0
,,2018-12-11,A005,81,R,2018-12-13,0
,,2018-12-11,A005,81,R,2018-12-13,0
,,2018-12-28,A005,81,R,2019-01-03,0
,,2018-12-28,A005,81,R,2019-01-03,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-02-18,A005,81,k,2019-02-21,0
,,2019-09-10,A005,81,K,2019-09-13,0
,,2019-09-10,A005,81,K,2019-09-13,0
,,2020-02-13,A005,81,K,2020-02-20,0
,,2020-04-22,A005,81,K,2020-04-29,0
,,2020-04-22,A005,81,K,2020-04-29,0
,,2020-04-22,A005,81,K,2020-04-29,0
,,2020-04-22,A005,81,K,2020-04-29,0
,,2020-04-22,A005,81,K,2020-04-29,0
,,2020-04-22,A005,81,K,2020-04-29,0
,,2020-04-22,A005,81,K,2020-04-29,0
,,2020-04-22,A005,81,K,2020-04-29,0
,,2020-04-22,A005,81,K,2020-04-29,0
,,2020-04-22,A005,81,K,2020-04-29,0
,,2020-04-22,A005,81,K,2020-04-29,0
,,2020-04-22,A005,81,K,2020-04-29,0
,,2020-04-22,A005,81,K,2020-04-29,0
,,2020-04-22,A005,81,K,2020-04-29,0
