material,Height,Width,Length,Gross weight packaging unit(g)
A001,0,0,0,0.0
A002,0,0,0,0.0
A003,0,0,0,0.0
A004,0,0,0,0.0
A005,0,0,0,0.0
A006,0,0,0,0.0
A007,0,0,0,0.0
A008,0,0,0,0.0
A009,200,300,400,8305.0
A010,280,400,600,5455.5
A011,210,400,600,10650.0
A012,210,400,600,6400.0
A013,140,400,600,3450.0
A014,140,400,600,3000.0
A015,140,400,600,7810.0
A016,280,400,600,14346.6
A017,280,400,600,2880.0
A018,210,400,600,9165.0
A019,210,400,600,8500.0
A020,210,400,600,11400.0
A021,200,300,400,4205.0
A022,210,400,600,17200.0
A023,280,400,600,16260.0
A024,280,400,600,8109.0
A025,280,400,600,13860.0
A026,210,400,400,3300.0
A027,200,300,400,3935.0
A028,280,400,600,9560.0
A029,200,300,400,2436.2
A030,140,400,600,2600.0
A031,200,300,400,2436.2
A032,200,300,400,3726.44
A033,140,400,600,7330.0
A034,210,400,600,12000.0
A035,210,400,600,14445.0
A036,210,400,600,14445.0
A037,210,400,600,13172.5
A038,210,400,600,12855.0
A039,210,400,600,17350.0
A040,140,400,600,5200.0
A041,140,400,600,6165.0
A042,210,400,600,10500.0
A043,140,400,600,17600.0
A044,140,400,600,12200.0
A045,280,400,600,11372.5
A046,210,400,600,10500.0
A047,210,400,600,4800.0
A048,210,400,600,12000.0
A049,210,400,600,11400.0
A050,210,400,600,8850.0
A051,280,400,600,14400.0
A052,280,400,600,12960.0
A053,280,400,600,18360.0
A054,280,400,600,13360.0
A055,210,400,600,5940.0
A056,210,400,600,6780.0
A057,200,300,400,5720.0
A058,232,300,400,5300.0
A059,140,400,600,2500.0
A060,280,400,600,14520.0
A061,210,400,600,11020.0
A062,140,400,600,2950.0
A063,280,400,600,18582.36
A064,280,400,600,1160.0
A065,210,400,600,7200.0
A066,280,400,600,10497.5
A067,210,400,600,10500.0
A068,210,400,600,10500.0
A069,210,400,600,9250.0
A070,210,400,600,5800.0
A071,140,400,600,3715.0
A072,280,400,600,27593.34
A073,200,300,400,4105.0
A074,140,400,600,7970.0
A075,140,400,600,7650.0
A076,140,400,600,7770.0
A077,140,400,600,7770.0
A078,200,300,400,3305.0
A079,210,400,600,12350.0
A080,280,400,600,15160.0
A081,210,400,600,8550.0
A082,140,400,600,3895.0
A083,210,400,600,7100.0
A084,280,400,600,5460.0
A085,210,400,600,10700.0
A086,280,400,600,5460.0
A087,280,400,600,8460.0
A088,280,400,600,7.17
A089,280,400,600,14.04
A090,210,400,600,5700.0
A091,210,400,600,11300.0
A092,140,400,600,12275.0
A093,280,400,600,13770.0
A094,210,400,600,8400.0
A095,280,400,600,14080.0
A096,280,400,600,9081.0
A097,280,400,600,11960.0
A098,210,400,600,13200.0
A099,280,400,600,13525.0
A100,210,400,600,10800.0
A101,280,400,600,12960.0
A102,210,400,600,11900.0
A103,210,400,600,8350.0
A104,280,400,600,13840.0
A105,210,400,600,8480.0
A106,210,400,600,11050.0
A107,210,400,600,4450.0
A108,280,400,600,6840.0
A109,210,400,600,7600.0
A110,140,400,600,12375.0
A111,280,400,600,11935.0
A112,280,400,600,11835.0
A113,280,400,600,4680.0
A114,140,400,600,12275.0
A115,210,400,600,4700.0
A116,210,400,600,9200.0
A117,280,400,600,13080.0
A118,280,400,600,11640.0
A119,210,400,600,9640.0
A120,210,400,600,7900.0
A121,280,400,600,12840.0
A122,210,400,600,7050.0
A123,210,400,600,6260.0
A124,280,400,600,13170.0
A125,280,400,600,14220.0
A126,280,400,600,12860.0
A127,280,400,600,12640.0
A128,280,400,600,14280.0
A129,280,400,600,13740.0
A130,210,400,600,11160.0
A131,280,400,600,5460.0
A132,280,400,600,16710.0
A133,280,400,600,12.03
A134,280,400,600,9.18
A135,280,400,600,11490.0
A136,210,400,600,5625.0
A137,210,400,600,5625.0
A138,280,400,600,13335.0
A139,280,400,600,4760.0
A140,280,400,600,13880.0
A141,280,400,600,13.66
A142,210,400,600,9120.0
A143,210,400,600,5700.0
A144,210,400,600,9400.0
A145,280,400,600,12210.0
A146,200,300,400,4475.0
A147,200,300,400,5735.0
A148,200,300,400,5795.0
A149,200,300,400,1980.0
A150,180,230,500,8760.0
A151,210,400,600,8000.0
A152,280,400,600,8360.0
A153,280,400,600,7360.0
A154,280,400,600,7360.0
A155,210,400,600,10924.0
A156,210,400,600,11085.0
A157,210,400,600,20900.0
A158,140,400,600,7200.0
A159,140,400,600,7770.0
A160,280,400,600,12585.0
A161,140,400,600,7360.0
A162,300,300,500,9840.0
A163,210,400,600,12110.0
A164,210,400,600,9850.0
A165,210,400,600,11100.0
A166,210,400,600,13715.0
A167,210,400,600,9220.0
A168,200,300,400,2235.0
A169,210,400,600,10810.0
A170,200,300,400,12805.0
A171,200,300,400,8685.0
A172,280,400,600,12110.0
A173,210,400,600,12600.0
A174,210,400,600,10300.0
A175,280,400,600,13710.0
A176,210,400,600,8100.0
A177,210,400,600,13710.0
A178,210,400,600,10440.0
A179,210,400,600,14690.0
A180,210,400,600,10710.0
A181,210,400,600,10750.0
A182,280,400,600,13680.0
A183,210,400,600,8790.0
A184,210,400,600,8150.0
A185,210,400,600,9050.0
A186,280,400,600,15030.0
A187,280,400,600,5960.0
A188,280,400,600,12870.0
A189,210,400,600,13980.0
A190,210,400,600,13420.0
A191,210,400,600,14095.0
A192,210,400,600,12500.0
A193,280,400,600,11660.0
A194,280,400,600,13260.0
A195,280,400,600,24980.0
A196,200,300,400,1025.0
A197,280,400,600,25460.0
A198,280,400,600,11697.5
A199,280,400,600,18722.5
A200,280,400,600,16820.0
A201,280,400,600,15660.0
A202,210,400,600,15040.0
A203,280,400,600,14800.0
A204,280,400,600,15720.0
A205,280,400,600,10640.0
A206,210,400,600,15300.0
A207,280,400,600,14330.0
A208,210,400,600,16500.0
A209,210,400,600,9220.0
A210,280,400,600,14330.0
A211,210,400,600,11900.0
A212,210,400,600,12425.0
A213,200,300,400,6305.0
A214,140,400,600,7360.0
A215,210,400,600,9850.0
A216,280,400,600,8460.0
A217,210,400,600,13700.0
A218,210,400,600,13715.0
A219,210,400,600,20900.0
